Data,wb,wb_acc_1,wb_index_1,wb_acc_2,wb_index_2,wb_acc_3,wb_index_3,wb_acc_4,wb_index_4,wb_acc_5,wb_index_5,wb_acc_6,wb_index_6,wb_acc_7,wb_index_7,wb_acc_8,wb_index_8,wb_acc_9,wb_index_9,wb_acc_10,wb_index_10,wb_acc_11,wb_index_11,wb_acc_12,wb_index_12
1998-08-01,-152.47961350444604,-152.47961350444604,-1.7557011420632698,-277.4575329955618,-1.5842473872274416,-385.9748756694519,-1.5016354710496311,-475.6911100205638,-1.4428804442998922,-574.554019061676,-1.5871989171022833,-595.0969228677884,-1.4097403425245048,-509.2314851089011,-1.0339606175213214,-417.6132663139031,-0.7585432910594494,-402.3961722766826,-0.7591274904125555,-449.8174289461291,-1.0289655247373022,-475.44702841557597,-1.2529893584499963,-610.0027505961338,-1.9729025795783115
1998-09-01,-163.2890730722262,-163.2890730722262,-2.278900953633059,-315.76868657667205,-2.7587494700647937,-440.7466060677882,-2.3712736073221943,-549.2639487416778,-2.2588089944031577,-638.9801830927902,-2.0736755128248086,-737.8430921339025,-2.0896580038387986,-758.3859959400145,-1.9491857035994578,-672.5205581811275,-1.6250470308503373,-580.9023393861291,-1.4008520935962698,-565.6852453489088,-1.503981851868444,-613.1065020183552,-1.9115809027025428,-638.7361014878023,-2.1328666862942116
1998-10-01,-75.93682776166793,-75.93682776166793,-0.31327446191466213,-239.22590083389397,-1.0726048256187142,-391.7055143383402,-1.564560384435579,-516.6834338294559,-1.8198779500533533,-625.2007765033459,-1.9544129481088623,-714.9170108544583,-1.9676406512501785,-813.7799198955702,-2.1794054474650855,-834.3228237016826,-2.2240908398734134,-748.4573859427952,-2.0252423185141715,-656.8391671477971,-1.8802911458701839,-641.6220731105766,-2.0481358856946983,-689.0433297800233,-2.4160685720320267
1998-11-01,171.8398899366652,171.8398899366652,1.489108876100292,95.90306217499742,0.796949402729058,-67.38601089722897,0.21574118890173336,-219.86562440167478,-0.19355242577114762,-344.84354389279076,-0.529228020975752,-453.36088656668085,-0.8678538190622542,-543.077120917793,-1.1486765449651497,-641.9400299589051,-1.5164463792731966,-662.4829337650172,-1.7020675770880762,-576.6174960061301,-1.5489910388828152,-484.99927721113175,-1.298655639042591,-469.7821831739116,-1.2099770660546452
1998-12-01,84.07598399277639,84.07598399277639,0.9977562005531232,255.91587392944172,1.3093363805676637,179.97904616777362,0.9233615891366753,16.689973095547643,0.48234207742766955,-135.78964040889855,0.10330444880888216,-260.76755990001465,-0.25668109619298096,-369.2849025739044,-0.5850177139243592,-459.00113692501674,-0.8936001901673164,-557.8640459661285,-1.3167156377948426,-578.4069497722409,-1.5563615605662728,-492.54151201335355,-1.3347162209226318,-400.9232932183556,-0.8455072915531601
1999-01-01,30.252098413887992,30.252098413887992,0.6407862762761922,114.32808240666452,0.8617107674525102,286.16797234332955,1.1725857686417056,210.23114458166185,0.9138942731553428,46.94207150943549,0.545272727348487,-105.53754199501074,0.16681394430390453,-230.51546148612653,-0.17423981563141902,-339.03280416001655,-0.5075124887773688,-428.74903851112856,-0.8524268196881437,-527.6119475522406,-1.347488326901428,-548.1548513583527,-1.6007087047528805,-462.2894135994658,-1.1700035267034665
1999-02-01,92.95710283722036,92.95710283722036,1.0518957618861484,123.2092012511085,0.892301168323487,207.28518524388468,0.9898048224629049,379.12507518055014,1.2384046853202504,303.18824741888204,1.0644758286358498,139.89917434665566,0.7516509405663498,-12.580439157790266,0.41594287767610216,-137.5583586489063,0.10674925653540536,-246.07570132279596,-0.21536473915848547,-335.79193567390826,-0.565061706248927,-434.6548447150201,-1.0580312226288255,-455.19774852113255,-1.132241432531008
1999-03-01,35.405995824443806,35.405995824443806,0.6774388322963734,128.3630986616643,0.909874671500601,158.6151970755521,0.8701107722268691,242.69118106832872,0.9794295958483601,414.5310710049938,1.2646521233425094,338.59424324332565,1.170067113594596,175.30517017109958,0.8815854587579849,22.825556666653384,0.5690243488798242,-102.1523628244623,0.27140535778851177,-210.66970549835224,-0.05999252664514436,-300.3859398494643,-0.4169639376568656,-399.2488488905765,-0.8367240786584796
1999-04-01,-90.15790357444533,-90.15790357444533,-0.490204229359083,-54.75190775000138,0.18037766765846192,38.20519508721877,0.5454777631972046,68.457293501107,0.6056238271108797,152.53327749388325,0.7707083667712663,324.3731674305482,1.14144753334097,248.43633966888044,1.0537872247238156,85.14726659665408,0.7429499507660481,-67.33234690779173,0.38727993790641135,-192.3102663989077,0.013771978890783403,-300.8276090727975,-0.4190710714170952,-390.54384342390983,-0.7911222540389806
1999-05-01,-81.3062219111112,-81.3062219111112,-0.3778059452755171,-171.4641254855564,-0.48865517947329745,-136.0581296611128,-0.03152219708102918,-43.10102682389217,0.33103862824804164,-12.848928410004334,0.4088251143500412,71.22705558277185,0.5966111650277165,243.06694551943718,1.041301704142005,167.13011775776909,0.9672399069559348,3.8410446855431104,0.6219270820759414,-148.63856881890297,0.18888464497484989,-273.6164883100188,-0.28927103194636045,-382.1338309839088,-0.7471607084889521
