Data,Q,Q_acc_1,Q_index_1,Q_acc_2,Q_index_2,Q_acc_3,Q_index_3,Q_acc_4,Q_index_4,Q_acc_5,Q_index_5,Q_acc_6,Q_index_6,Q_acc_7,Q_index_7,Q_acc_8,Q_index_8,Q_acc_9,Q_index_9,Q_acc_10,Q_index_10,Q_acc_11,Q_index_11,Q_acc_12,Q_index_12
1949-03-01,372.5435483870968,372.5435483870968,1.4092554303563665,797.290405529954,1.7593866452113895,1252.5460829493088,2.0570280892255877,1714.3619216589861,2.303595108016759,1954.1120883256528,1.9753347191902355,2194.5405399385563,1.7571867422189023,2421.153339938556,1.5689731914278309,2651.5576625192016,1.4249954384893366,2893.000307680492,1.3202701067085898,3143.4854076804913,1.2360989491799337,3418.607923809524,1.1972748501564685,3747.2935904761907,1.2504552055149256
1949-04-01,325.0713333333333,325.0713333333333,0.8782459039418078,697.61488172043,1.1992173879843464,1122.3617388632874,1.5615648502940915,1577.6174162826421,1.8992393709852424,2039.4332549923195,2.1955897974326115,2279.1834216589864,1.9625014985727791,2519.611873271889,1.7988460017783312,2746.2246732718895,1.6405839076378343,2976.628995852535,1.5060256249152557,3218.071641013825,1.3962657628957502,3468.556741013825,1.2994668683779778,3743.6792571428573,1.24354350021777
1949-05-01,273.6686451612903,273.6686451612903,0.24236232238663968,598.7399784946236,0.5893484375673552,971.2835268817205,0.9374135187549938,1396.0303840245779,1.3256727016874585,1851.2860614439323,1.701484447962323,2313.1019001536097,2.0433914902881822,2552.8520668202764,1.8751322199687845,2793.28051843318,1.7459450306283166,3019.89331843318,1.600786150431272,3250.297641013825,1.4647151513541241,3491.740286175115,1.346570635114071,3742.225386175115,1.2407620196761542
1949-06-01,250.6269,250.6269,-0.06859013638975375,524.2955451612903,0.08474703233206776,849.3668784946236,0.3855506565966307,1221.9104268817205,0.7280438013666284,1646.6572840245776,1.1256093810660794,2101.9129614439325,1.5265298120588977,2563.72880015361,1.8999542893318497,2803.4789668202766,1.768627339094726,3043.90741843318,1.6530011677908036,3270.52021843318,1.5074420331735423,3500.924541013825,1.3651742159737164,3742.3671861751154,1.2410333363103296
1949-07-01,238.135064516129,238.135064516129,-0.24522742324772573,488.761964516129,-0.1730603983760446,762.4306096774194,-0.04090663416977796,1087.5019430107527,0.2271326083044147,1460.0454913978494,0.5580435258902406,1884.7923485407066,0.9585798897926318,2340.0480259600613,1.3749970029061602,2801.863864669739,1.76503878332642,3041.614031336406,1.6480261875333169,3282.0424829493086,1.5317093238851407,3508.655282949309,1.3808087637627888,3739.0596055299543,1.234702932663137
1949-08-01,228.7473548387097,228.7473548387097,-0.3821145612745032,466.8824193548387,-0.3381128443401649,717.5093193548387,-0.2740991675954705,991.177964516129,-0.15775875074504317,1316.2492978494624,0.08706032820684803,1688.7928462365592,0.4076820989219871,2113.5397033794166,0.8088209991258715,2568.7953807987715,1.2323560677474874,3030.611219508449,1.624123975789519,3270.361386175115,1.5071071224003247,3510.7898377880188,1.3851216766972225,3737.4026377880186,1.2315302657402607
1949-09-01,218.5021666666667,218.5021666666667,-0.5359016604685303,447.2495215053764,-0.49071100661813905,685.3845860215055,-0.4469477930606032,936.0114860215054,-0.38958734357773717,1209.6801311827958,-0.28461283467070064,1534.751464516129,-0.05582838703636,1907.2950129032258,0.25736864652000535,2332.041870046083,0.6577260265397552,2787.297547465438,1.0803752691441038,3249.113386175115,1.4622076322347626,3488.863552841782,1.3407369353292304,3729.2920044546854,1.215987135705611
1949-10-01,240.6567096774194,240.6567096774194,-0.20907843143844815,459.15887634408614,-0.39761844584026346,687.9062311827959,-0.43318498018906243,926.0412956989248,-0.43245898971669094,1176.6681956989248,-0.4041817681177066,1450.3368408602153,-0.32312734208504895,1775.4081741935486,-0.11635696316455806,2147.9517225806453,0.18366798279186614,2572.6985797235025,0.5742513838144416,3027.9542571428574,0.9830017487737284,3489.7700958525347,1.34257564569535,3729.5202625192014,1.216424870726016
1949-11-01,310.1742,310.1742,0.7012283109069624,550.8309096774194,0.2697590697669889,769.3330763440861,-0.0058971394363786745,998.0804311827958,-0.12936686958962165,1236.2154956989248,-0.19008069310700879,1486.8423956989247,-0.2062869542030489,1760.511040860215,-0.15972230286513742,2085.5823741935483,0.016949426830102993,2458.1259225806452,0.29252458839471485,2882.872779723503,0.6559853990396632,3338.1284571428573,1.0305332171741313,3799.9442958525347,1.3506465485138595
1949-12-01,374.6624193548387,374.6624193548387,1.43190331158321,684.8366193548386,1.123724783837424,925.4933290322581,0.7358008315715263,1143.9954956989247,0.44239910569400165,1372.7428505376345,0.27598530877536254,1610.8779150537634,0.1769234103546069,1861.5048150537634,0.12962362259694438,2135.1734602150536,0.14977586789546896,2460.244793548387,0.2978130107412699,2832.788341935484,0.5405719365572645,3257.535199078341,0.8608805536097063,3712.790876497696,1.1842958143354034
