TipoEstaca;Codigo;Latitude;Longitude
2;1246003;-12.4;-46.4167
2;1443010;-14.7167;-43.95
2;1446007;-14.9614;-46.7808
2;1145025;-11.2081;-45.4086
2;1145029;-11.2114;-45.4108
2;1146007;-11.0417;-46.2944
2;1146008;-11.3831;-46.5033
2;1146009;-11.5972;-46.0036
2;1045007;-10.5989;-45.8211
2;1045008;-11.0931;-45.9486
2;1346010;-13.2844;-46.0267
2;1245025;-12.7794;-45.9425
2;1245026;-12.8011;-45.7283
2;1245027;-12.6422;-45.4514
2;1245030;-12.8364;-45.3056
2;1245031;-12.4722;-45.2514
2;1246006;-12.6442;-46.1928
2;1246009;-12.6342;-46.1525
2;1145027;-11.9033;-45.6967
