,0,1,2,3,4,5,6,7,8,mean
lon,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-45.5
lat,-10.5,-10.5,-10.5,-11.5,-11.5,-11.5,-12.5,-12.5,-12.5,-11.5
1/1/1942 0:00,220.46,184.37,149.35,294.34,196.82,133.26,332.37,218.78,127.03,206.3088889
2/1/1942 0:00,213.36,214.36,158.79,368.02,183.08,180.29,433.31,219.69,173.59,238.2766667
3/1/1942 0:00,99.75,64.25,45.18,142.32,51.94,27.47,161.22,75.26,52.96,80.03888889
4/1/1942 0:00,88.51,88.26,54.31,78.66,72.31,65.53,66.08,67.11,46.27,69.67111111
5/1/1942 0:00,65.06,55.55,8.25,36.36,34.88,5.26,20.83,12.12,5.01,27.03555556
6/1/1942 0:00,1.19,1.35,0.68,2.68,0.59,0.32,2.84,0.86,0.15,1.184444444
7/1/1942 0:00,0.32,0,0.03,0.46,0.5,0.01,0.33,0.21,0,0.206666667
8/1/1942 0:00,1.4,0.72,0.69,0.6,1,0,0.33,0.45,0.73,0.657777778
9/1/1942 0:00,60.35,51.35,25.4,118.86,60.98,48.32,139.45,92.71,56.58,72.66666667
10/1/1942 0:00,89.75,86.91,138.91,145.62,115.91,133.07,166.04,140.6,170.02,131.87
11/1/1942 0:00,162.5,165,179.31,234.57,219.71,259.59,260.1,340.29,314.21,237.2533333
12/1/1942 0:00,300.17,281.49,235.7,397.53,277.02,204.15,439.1,329.85,202.92,296.4366667
1/1/1943 0:00,328.21,211.48,108.3,373.84,191.7,106.46,420.3,237.12,123.63,233.4488889
2/1/1943 0:00,129.19,88.21,92.57,228.69,113.42,94.69,279.18,133.62,89.59,138.7955556
3/1/1943 0:00,279.59,234.79,199.9,248.68,214.79,138.62,230.56,216.36,156.33,213.2911111
4/1/1943 0:00,128.19,101.07,79.24,83.33,82.73,86.24,61.69,78.26,96.66,88.60111111
5/1/1943 0:00,16.13,6.09,0.42,11.91,5.1,0.71,6.74,5.25,3.67,6.224444444
6/1/1943 0:00,3.28,2.16,2.68,4.76,1.24,2.77,5.51,1.46,1.24,2.788888889
7/1/1943 0:00,0.32,0,0.03,0.46,0.5,0.07,0.33,0.21,0,0.213333333
8/1/1943 0:00,1.41,0.88,0.69,0.67,1.89,0.37,0.43,2.14,2,1.164444444
9/1/1943 0:00,13.06,6.55,0.33,25.28,16.98,8.16,41.69,43.82,16.51,19.15333333
10/1/1943 0:00,117.55,79.51,61.56,140.06,113.39,95.99,157.02,126.44,99.56,110.12
11/1/1943 0:00,233.43,212.43,205.65,349.97,266.35,240.13,389.85,284.39,251.72,270.4355556
12/1/1943 0:00,260.11,186.59,216.12,384.56,191.06,195.01,442.02,303.69,196.88,264.0044444
1/1/1944 0:00,178.71,130.97,70.17,133.55,151.59,91.09,122.29,105.83,91.44,119.5155556
2/1/1944 0:00,221.4,186.49,160.05,252.96,170.12,144.41,275.83,161.57,147.33,191.1288889
3/1/1944 0:00,124.16,96.97,102.55,153.05,103.49,95.06,160.36,120.77,81.75,115.3511111
4/1/1944 0:00,165.16,160.21,171.13,178.32,117.69,131.11,178.77,136.35,114.47,150.3566667
5/1/1944 0:00,15.35,5.64,0.38,11.97,4.38,0.67,7.34,2.12,2.39,5.582222222
6/1/1944 0:00,1.19,1.41,0.9,1.9,0.56,0.36,2.12,0.74,0.15,1.036666667
7/1/1944 0:00,0.32,0,0.03,0.46,0.5,0.01,0.32,0.21,0,0.205555556
8/1/1944 0:00,1.4,0.71,0.69,0.59,1,0,0.33,0.45,0.73,0.655555556
9/1/1944 0:00,12.09,5.21,0.12,8.42,5,1.15,3.02,1.46,1.45,4.213333333
10/1/1944 0:00,104.93,74.19,99.89,166.89,116.82,76.46,188.13,127.48,106.32,117.9011111
11/1/1944 0:00,216.22,169.9,105.38,228.79,190.99,143.74,238.2,168.22,153.33,179.4188889
12/1/1944 0:00,417.13,410.43,413.25,498.32,430.54,441.55,526.95,404.68,434.22,441.8966667
1/1/1945 0:00,237.47,130.69,90.04,314.59,168.16,135.74,372.38,234.33,156.08,204.3866667
2/1/1945 0:00,193.27,133.43,108.04,201.48,131.61,84.53,218.12,89.23,78.6,137.59
3/1/1945 0:00,149.08,132.49,200.59,226.46,133.92,166.52,248.95,161.07,166.01,176.1211111
4/1/1945 0:00,200.57,167.2,91.34,225.08,145.22,102.89,225.67,129.8,110.08,155.3166667
5/1/1945 0:00,81.99,43.32,35.43,118.47,55.14,40.1,184.14,115.39,64.18,82.01777778
6/1/1945 0:00,2.07,2.71,4.66,3.42,0.55,3,2.37,0.89,0.4,2.23
7/1/1945 0:00,0.98,0,0.03,1.69,0.59,0.01,1.17,0.64,0.03,0.571111111
8/1/1945 0:00,1.96,0.72,0.69,1.95,1.08,0,0.52,1.07,1.24,1.025555556
9/1/1945 0:00,30.42,29.42,5.23,20.32,19.75,11.57,12.41,5.79,18.47,17.04222222
10/1/1945 0:00,172.78,106.47,112.11,196.87,153.59,117.47,224.67,185.87,165.13,159.44
11/1/1945 0:00,197.4,210.99,129.06,215.9,214.59,141.38,271.07,195.92,199.01,197.2577778
12/1/1945 0:00,255.55,216.78,191.56,281.17,290.85,192.53,308.18,248.43,199.71,242.7511111
1/1/1946 0:00,181.13,139.59,107.22,262.63,116.55,103.52,307.37,153.38,109.49,164.5422222
2/1/1946 0:00,142.09,108.78,82.73,160.19,121.16,90.59,166.25,98.26,117.79,120.8711111
3/1/1946 0:00,175.99,102.99,123.07,237.01,144.02,138.88,269.95,227.27,176.79,177.33
4/1/1946 0:00,102.95,98.75,42.94,93.16,70.18,58.92,70.27,64.75,57.75,73.29666667
5/1/1946 0:00,48.39,27.5,23.73,55.07,28.36,52.28,51.1,34.36,43.44,40.47
6/1/1946 0:00,2.51,1.83,0.78,3.5,0.81,0.34,2.39,1.32,0.4,1.542222222
7/1/1946 0:00,0.99,0,0.03,1.46,0.55,0.01,0.45,0.52,0.03,0.448888889
8/1/1946 0:00,1.96,0.71,0.69,1.95,1.08,0,0.52,1.07,1.25,1.025555556
9/1/1946 0:00,21.27,14.42,3.89,29.78,22.2,7.59,47.38,28.05,17.21,21.31
10/1/1946 0:00,104.76,35.35,34.46,114.45,38.45,16.38,45.48,23.2,28.31,48.98222222
11/1/1946 0:00,175.08,169.34,174.34,217.64,194.39,195.93,291.82,224.85,222.02,207.2677778
12/1/1946 0:00,71.22,6.86,52.13,142.89,54.2,51.09,227.53,150.31,73.56,92.19888889
1/1/1947 0:00,425.78,400.33,310.42,381.45,337.79,275.53,332.35,283.47,255.27,333.5988889
