;Er (m)
1986-10-01 00:00:00;-0.0028576802
1986-11-01 00:00:00;-0.0037070892
1986-12-01 00:00:00;-0.0033983968
1987-01-01 00:00:00;-0.004115198
1987-02-01 00:00:00;-0.003480471
1987-03-01 00:00:00;-0.0033130222
1987-04-01 00:00:00;-0.0034618427
1987-05-01 00:00:00;-0.002792452
1987-06-01 00:00:00;-0.0014423189
1987-07-01 00:00:00;-0.0010167365
1987-08-01 00:00:00;-0.0009238124
1987-09-01 00:00:00;-0.0010569573
1987-10-01 00:00:00;-0.001682115
1987-11-01 00:00:00;-0.0031548145
1987-12-01 00:00:00;-0.0035891975
1988-01-01 00:00:00;-0.0040958743
1988-02-01 00:00:00;-0.0040762997
1988-03-01 00:00:00;-0.0036244274
1988-04-01 00:00:00;-0.003527955
1988-05-01 00:00:00;-0.0025698217
1988-06-01 00:00:00;-0.0013879022
1988-07-01 00:00:00;-0.0009894933
1988-08-01 00:00:00;-0.0009099082
1988-09-01 00:00:00;-0.0009478777
1988-10-01 00:00:00;-0.0024271193
1988-11-01 00:00:00;-0.003105866
1988-12-01 00:00:00;-0.0035112067
1989-01-01 00:00:00;-0.003956821
1989-02-01 00:00:00;-0.0039168783
1989-03-01 00:00:00;-0.0038310005
1989-04-01 00:00:00;-0.0034391596
1989-05-01 00:00:00;-0.0025604935
1989-06-01 00:00:00;-0.0015882194
1989-07-01 00:00:00;-0.0013150914
1989-08-01 00:00:00;-0.0009186157
1989-09-01 00:00:00;-0.0015844561
1989-10-01 00:00:00;-0.0021423395
1989-11-01 00:00:00;-0.0033870563
1989-12-01 00:00:00;-0.00254534
1990-01-01 00:00:00;-0.003969096
1990-02-01 00:00:00;-0.0029927432
1990-03-01 00:00:00;-0.0041135494
1990-04-01 00:00:00;-0.0033625737
1990-05-01 00:00:00;-0.0023438395
1990-06-01 00:00:00;-0.0012045449
1990-07-01 00:00:00;-0.0012696141
1990-08-01 00:00:00;-0.0008322432
1990-09-01 00:00:00;-0.0011519294
1990-10-01 00:00:00;-0.0017287252
1990-11-01 00:00:00;-0.0028194012
1990-12-01 00:00:00;-0.0036154531
1991-01-01 00:00:00;-0.0034773324
1991-02-01 00:00:00;-0.003981091
1991-03-01 00:00:00;-0.0033467833
1991-04-01 00:00:00;-0.003605603
1991-05-01 00:00:00;-0.0022260577
1991-06-01 00:00:00;-0.0012221929
1991-07-01 00:00:00;-0.00086170016
1991-08-01 00:00:00;-0.00073842553
1991-09-01 00:00:00;-0.0012843149
1991-10-01 00:00:00;-0.0011134832
1991-11-01 00:00:00;-0.0030654843
1991-12-01 00:00:00;-0.0038783583
1992-01-01 00:00:00;-0.0029560467
1992-02-01 00:00:00;-0.003310732
1992-03-01 00:00:00;-0.0029982948
1992-04-01 00:00:00;-0.0028051664
1992-05-01 00:00:00;-0.0017071872
1992-06-01 00:00:00;-0.0009141782
1992-07-01 00:00:00;-0.000726586
1992-08-01 00:00:00;-0.0007722898
1992-09-01 00:00:00;-0.0010222782
1992-10-01 00:00:00;-0.0014944724
1992-11-01 00:00:00;-0.0034994825
1992-12-01 00:00:00;-0.0033570293
1993-01-01 00:00:00;-0.004321378
1993-02-01 00:00:00;-0.0039727464
1993-03-01 00:00:00;-0.0038059345
1993-04-01 00:00:00;-0.0033683055
1993-05-01 00:00:00;-0.0020800373
1993-06-01 00:00:00;-0.0010799837
1993-07-01 00:00:00;-0.0008710319
1993-08-01 00:00:00;-0.0007751422
1993-09-01 00:00:00;-0.0011804543
1993-10-01 00:00:00;-0.002585077
1993-11-01 00:00:00;-0.0020695084
1993-12-01 00:00:00;-0.0034946352
1994-01-01 00:00:00;-0.0037650669
1994-02-01 00:00:00;-0.0037697917
1994-03-01 00:00:00;-0.003608936
1994-04-01 00:00:00;-0.0035408468
1994-05-01 00:00:00;-0.0023237965
1994-06-01 00:00:00;-0.001335485
1994-07-01 00:00:00;-0.0010129038
1994-08-01 00:00:00;-0.00096587604
1994-09-01 00:00:00;-0.00088376616
1994-10-01 00:00:00;-0.001287368
1994-11-01 00:00:00;-0.00245319
1994-12-01 00:00:00;-0.0033372268
1995-01-01 00:00:00;-0.0036894558
1995-02-01 00:00:00;-0.003740836
1995-03-01 00:00:00;-0.0036735043
1995-04-01 00:00:00;-0.0034485594
1995-05-01 00:00:00;-0.002946434
1995-06-01 00:00:00;-0.002129175
1995-07-01 00:00:00;-0.0012717873
1995-08-01 00:00:00;-0.0010772151
1995-09-01 00:00:00;-0.00096582226
1995-10-01 00:00:00;-0.0022400434
1995-11-01 00:00:00;-0.0030372797
1995-12-01 00:00:00;-0.003666142
1996-01-01 00:00:00;-0.004236294
1996-02-01 00:00:00;-0.004053044
1996-03-01 00:00:00;-0.00376112
1996-04-01 00:00:00;-0.0034928848
1996-05-01 00:00:00;-0.002799138
1996-06-01 00:00:00;-0.0016185017
1996-07-01 00:00:00;-0.0010550815
1996-08-01 00:00:00;-0.00088992884
1996-09-01 00:00:00;-0.0008435229
1996-10-01 00:00:00;-0.002724357
1996-11-01 00:00:00;-0.0032751167
1996-12-01 00:00:00;-0.0038772172
1997-01-01 00:00:00;-0.0037329402
1997-02-01 00:00:00;-0.004279956
1997-03-01 00:00:00;-0.0031687887
1997-04-01 00:00:00;-0.003329931
1997-05-01 00:00:00;-0.0029592598
1997-06-01 00:00:00;-0.0019012006
1997-07-01 00:00:00;-0.0012355254
1997-08-01 00:00:00;-0.0011388443
1997-09-01 00:00:00;-0.0012817349
1997-10-01 00:00:00;-0.002230781
1997-11-01 00:00:00;-0.0036628826
1997-12-01 00:00:00;-0.0038956734
1998-01-01 00:00:00;-0.003689535
1998-02-01 00:00:00;-0.004174601
1998-03-01 00:00:00;-0.004135779
1998-04-01 00:00:00;-0.002689868
1998-05-01 00:00:00;-0.0022017153
1998-06-01 00:00:00;-0.0009853509
1998-07-01 00:00:00;-0.0007497045
1998-08-01 00:00:00;-0.00069397915
1998-09-01 00:00:00;-0.000681147
1998-10-01 00:00:00;-0.0014867891
1998-11-01 00:00:00;-0.0031870615
1998-12-01 00:00:00;-0.003964907
1999-01-01 00:00:00;-0.0039750063
1999-02-01 00:00:00;-0.0038367754
1999-03-01 00:00:00;-0.00386157
1999-04-01 00:00:00;-0.0030406131
1999-05-01 00:00:00;-0.0021122533
1999-06-01 00:00:00;-0.0011170707
1999-07-01 00:00:00;-0.0007919147
1999-08-01 00:00:00;-0.00072268536
1999-09-01 00:00:00;-0.0013414425
1999-10-01 00:00:00;-0.0018560236
1999-11-01 00:00:00;-0.003285489
1999-12-01 00:00:00;-0.0036196073
2000-01-01 00:00:00;-0.0038685098
2000-02-01 00:00:00;-0.0041003805
2000-03-01 00:00:00;-0.0038959607
2000-04-01 00:00:00;-0.003503709
2000-05-01 00:00:00;-0.0022966394
2000-06-01 00:00:00;-0.0012542775
2000-07-01 00:00:00;-0.00095924985
2000-08-01 00:00:00;-0.0008982148
2000-09-01 00:00:00;-0.001499585
2000-10-01 00:00:00;-0.001237001
2000-11-01 00:00:00;-0.0033247739
2000-12-01 00:00:00;-0.00345437
2001-01-01 00:00:00;-0.0039029922
2001-02-01 00:00:00;-0.0037173277
2001-03-01 00:00:00;-0.003742554
2001-04-01 00:00:00;-0.0033266847
2001-05-01 00:00:00;-0.002228902
2001-06-01 00:00:00;-0.0012264871
2001-07-01 00:00:00;-0.00086682
2001-08-01 00:00:00;-0.0007130327
2001-09-01 00:00:00;-0.0010965102
2001-10-01 00:00:00;-0.0023724248
2001-11-01 00:00:00;-0.0028624893
2001-12-01 00:00:00;-0.003377273
2002-01-01 00:00:00;-0.0036705246
2002-02-01 00:00:00;-0.0041747577
2002-03-01 00:00:00;-0.0033665253
2002-04-01 00:00:00;-0.002941098
2002-05-01 00:00:00;-0.001683478
2002-06-01 00:00:00;-0.00093361794
2002-07-01 00:00:00;-0.0006741966
2002-08-01 00:00:00;-0.0006020731
2002-09-01 00:00:00;-0.0010848504
2002-10-01 00:00:00;-0.0008241083
2002-11-01 00:00:00;-0.002891885
2002-12-01 00:00:00;-0.002757563
2003-01-01 00:00:00;-0.0038356297
2003-02-01 00:00:00;-0.0040724576
2003-03-01 00:00:00;-0.003453576
2003-04-01 00:00:00;-0.0034936378
2003-05-01 00:00:00;-0.0020563584
2003-06-01 00:00:00;-0.0011877301
2003-07-01 00:00:00;-0.0007637761
2003-08-01 00:00:00;-0.00084635225
2003-09-01 00:00:00;-0.00068500964
